100 Rizes Seaside Resort- Small Luxury Hotels of The World|https://100rizesseasideresort.com/|Gytheio|East Mani|GR|2020-01-01|https://i.travelapi.com/hotels/27000000/26770000/26763500/26763410/9e421f92_b.jpg|36.67606|22.52388|1002884
Adare Manor|https://www.adaremanor.com/|Adare|Adare|IE|2017-11-01|https://i.travelapi.com/hotels/1000000/870000/860400/860383/a0397adf_b.jpg|52.56494|-8.78695|181933
African Pride Arabella Hotel & Spa, Autograph Collection|https://www.marriott.com/hotels/travel/cptak-african-pride-arabella-hotel-and-spa-autograph-collection/|R44 Kleinmond|Kleinmond|ZA|2018-02-01|https://i.travelapi.com/hotels/1000000/700000/696100/696005/86af641e_b.jpg|-34.31047|19.12963|238084
African Pride Irene Country Lodge, Autograph Collection|https://www.marriott.com/hotels/travel/jnbrl-african-pride-irene-country-lodge-autograph-collection/|Nellmapius Drive|Centurion|ZA|2018-02-01|https://i.travelapi.com/hotels/1000000/910000/901900/901825/365318a3_b.jpg|-25.87651|28.2114|174384
African Pride Mount Grace Country House & Spa, Autograph Collection|https://www.marriott.com/hotels/travel/jnbmm-african-pride-mount-grace-country-house-and-spa-autograph-collection/|Old Rustenburg Road|Magaliesberg|ZA|2018-02-01|https://i.travelapi.com/hotels/1000000/390000/384500/384488/c88c5d3a_b.jpg|-25.98264|27.55193|308015
Akyra Sukhumvit Bangkok|http://www.theakyra.com/bangkok/sukhumvit/|7 Sukhumvit 20, Sukhumvit Road|Bangkok|TH|2018-05-12|https://i.travelapi.com/hotels/22000000/21620000/21617100/21617065/93e9fb46_b.jpg|13.73134|100.56401|799642
Al Bait Sharjah|https://www.ghmhotels.com/en/the-chedi-al-bait-sharjah/|Heart of Sharjah, Al Mareija|Sharjah|AE|2020-01-01|https://i.travelapi.com/hotels/24000000/23720000/23711900/23711862/c12239f7_b.jpg|25.35954|55.3832|893745
Al Bandar Rotana|https://www.rotana.com/rotanahotelandresorts/unitedarabemirates/dubai/albandarrotana|Baniyas Road, Deira|Dubai|AE|2018-03-01|https://i.travelapi.com/hotels/20000000/19320000/19319000/19318983/b9f8c4cb_b.jpg|25.25978|55.31805|732220
Al Seef Heritage Hotel Dubai, Curio Collection by Hilton|https://curiocollection3.hilton.com/en/hotels/uae/al-seef-heritage-hotel-dubai-curio-collection-by-hilton-DXBASQQ/index.html|Al Seef Street, Dubai Creek|Dubai|AE|2019-08-01|https://i.travelapi.com/hotels/28000000/27550000/27546100/27546056/d05c9eb2_b.jpg|25.26388|55.30519|1016859
Aleph Rome Hotel Curio Collection by Hilton|http://curiocollection3.hilton.com/en/hotels/italy/aleph-rome-hotel-curio-collection-by-hilton-FCOAHQQ/index.html|Via di San Basilio 15|Rome|IT|2017-12-01|https://i.travelapi.com/hotels/1000000/910000/906000/905949/115b4e23_b.jpg|41.90521|12.48996|206379
Alila Fort Bishangarh, Jaipur|https://www.alilahotels.com/fortbishangarh|Off NH-8 at Manoharpur, Jaipur|Bishangarh|IN|2017-08-01|NULL|27.32137|75.89396|670335
AlRayyan Hotel Doha, Curio Collection by Hilton|http://curiocollection3.hilton.com/en/hotels/qatar/alrayyan-hotel-doha-curio-collection-by-hilton-DOHMOQQ/index.html|Mall of Qatar|Al Rayyan|QA|2017-08-01|https://i.travelapi.com/hotels/16000000/15650000/15642500/15642424/6dda7b6f_b.jpg|25.32474|51.35102|609566
ALVEAR ICON HOTEL – LEADING HOTEL OF THE WORLD|https://www.lhw.com/hotel/Alvear-Icon-Hotel-Residences-Buenos-Aires-Argentina|Aime Paine 1130|Buenos Aires|AR|2017-07-01|https://i.travelapi.com/hotels/18000000/17720000/17715300/17715256/0d70c318_b.jpg|-34.61037|-58.36201|673385
Aman Kyoto|https://www.aman.com/resorts/aman-kyoto|1 Okitayama Washimine Cho|Kyoto|JP|2020-01-01|https://i.travelapi.com/hotels/37000000/36780000/36772100/36772085/a3866104_b.jpg|35.00025|135.75237|3802161
Amara Signature Shanghai|https://shanghai.amarahotels.com/|No. 600 Changshou Road|Shanghai|CN|2018-02-01|https://i.travelapi.com/hotels/20000000/19420000/19410300/19410214/d7d543a0_b.jpg|31.23831|121.43554|724185
Belizean Shores Resort|https://ambergriscay.com/|Ambergris Caye|San Pedro|BZ|2020-01-01|https://i.travelapi.com/hotels/2000000/1180000/1171800/1171716/30ec314b_b.jpg|17.96153|-87.93423|226707
Anantara Quy Nhon Villas|https://www.anantara.com/en/quy-nhon|Bai Dai, Ghenh Rang|Quy Nhon|VN|2018-08-01|https://i.travelapi.com/hotels/31000000/30940000/30930300/30930202/019fedd5_b.jpg|13.70008|109.22201|1058638
Angsana Zhuhai Phoenix Bay|https://www.angsana.com/en/china/zhuhai|No. 9 Quanxing East Road|Zhuhai|CN|2018-06-01|https://i.travelapi.com/hotels/21000000/20290000/20289400/20289336/fbd76c64_b.jpg|22.31208|113.60243|764650
Anselmo Buenos Aires Curio Collection By Hilton|http://curiocollection3.hilton.com/en/hotels/argentina/anselmo-buenos-aires-curio-collection-by-hilton-BUEBAQQ/index.html|Anselmo Aieta 1069|Buenos Aires|AR|2017-12-01|https://i.travelapi.com/hotels/12000000/11650000/11647100/11647055/d839da02_b.jpg|-34.62036|-58.37212|538371
Atelier Playa Mujeres - All Inclusive|https://atelierdehoteles.com/atelier-playa-mujeres/|Prolongación Bonampak S/N Mz 1|Playa Mujeres|MX|2019-01-15|https://i.travelapi.com/hotels/28000000/27530000/27527500/27527416/d749c784_b.jpg|21.25269|-86.81497|1026151
Marriott Orlando Airport Lakeside|https://www.august-antwerp.com/|7499 Augusta National Dr|Orlando|US|2019-06-01|https://i.travelapi.com/hotels/1000000/20000/14900/14900/c5f52251_b.jpg|28.45617|-81.30567|106139
Avani Adelaide Residences|https://www.avanihotels.com/en/adelaide|176 Franklin Street|Adelaide|AU|2019-11-01|https://i.travelapi.com/hotels/35000000/34280000/34278300/34278252/4a72ecf0_b.jpg|-34.92754|138.59227|1858241
Avani Melbourne Box Hill Residences|https://www.avanihotels.com/en/box-hill|12-14 Nelson Road|Box Hill|AU|2019-11-01|https://i.travelapi.com/hotels/38000000/37130000/37129900/37129898/71c4cb77_b.jpg|-37.81625|145.11986|2087990
Baglioni Resort Maldives - The Leading Hotels of the World|https://www.baglionihotels.com/branches/baglioni-resort-maldives/|Kalhuhuraa Magu|Maagau Island|MV|2019-06-15|https://i.travelapi.com/hotels/22000000/21210000/21202100/21202005/c19e2647_b.jpg|2.94785|72.9146|784597
Grand Hyatt Baha Mar|https://bahamar.com/|One Baha Mar Boulevard|Nassau|BS|2017-06-01|NULL|25.06886|-77.4004|476982
Bangkok Marriott Hotel The Surawongse|http://www.marriott.com/hotels/travel/bkkwo-bangkok-marriott-hotel-the-surawongse/|262 Thanon Surawong, Khwaeng Si Phraya|Bangkok|TH|2018-04-15|https://i.travelapi.com/hotels/22000000/21480000/21472600/21472564/85eedc4e_b.jpg|13.72711|100.52254|805123
Bankside Hotel, Autograph Collection|https://www.marriott.com/hotels/travel/lonkb-bankside-hotel-autograph-collection/|2 Blackfriars Road|London|GB|2018-10-01|https://i.travelapi.com/hotels/28000000/27350000/27347300/27347295/45e6f5b6_b.jpg|51.50646|-0.10446|1034352
BEI Zhaolong Hotel, a Joie de Vivre hotel|https://www.hyatt.com/en-US/hotel/china/jdv-bei-zhaolong/pekal|No 2 Gongti North Road|Beijing|CN|2019-11-01|NULL|39.93339|116.46053|2248694
BEI Zhaolong Hotel, a Joie de Vivre hotel|https://www.hyatt.com/en-US/hotel/china/jdv-bei-zhaolong/pekal|No 2 Gongti North Road|Beijing|CN|2019-09-01|NULL|39.93339|116.46053|2248694
Beijing Marriott Hotel Changping|http://www.marriott.com/hotels/travel/bjscp-beijing-marriott-hotel-changping/|29 Nan Kou Rd Cheng Nan St|Changping|CN|2018-05-01|https://i.travelapi.com/hotels/29000000/28960000/28953800/28953792/092bfec0_b.jpg|40.23424|116.19582|1020682
Bellagio Shanghai (on the Bund)|https://www.lhw.com/hotel/Bellagio-Shanghai-Hongkou-District-China|188 North Suzhou Road, Hongkou District|Shanghai|CN|2018-06-08|https://i.travelapi.com/hotels/19000000/18560000/18554100/18554052/8e3b0b5c_b.jpg|31.24668|121.48295|698182
Belmond Cadogan Hotel|https://www.belmond.com/hotels/europe/uk/london/belmond-cadogan-hotel/|75 Sloane Street|London|GB|2019-05-01|https://i.travelapi.com/hotels/1000000/470000/460400/460363/8f764901_b.jpg|51.49701|-0.15893|180554
Bless Hotel Ibiza, a member of The Leading Hotels of the World|https://www.blesscollectionhotels.com/en/ibiza/bless-hotel-ibiza|C/ Cala Nova- Es Canar|Santa Eulalia del Rio|ES|2019-08-01|https://i.travelapi.com/hotels/1000000/910000/909400/909354/c3bc4ee4_b.jpg|39.00662|1.58068|211049
Britannia Hotel Edinburgh|https://britannia.no/en|69 Belford Road|Edinburgh|GB|2019-05-01|https://i.travelapi.com/hotels/1000000/10000/4600/4533/f8a40f36_b.jpg|55.95069|-3.22256|115055
Camissa House|https://www.camissahouse.com/|28 Bridle Road, Oranjezicht|Cape Town|ZA|2020-01-01|https://i.travelapi.com/hotels/38000000/37050000/37049300/37049218/973b17ba_b.jpg|-33.94727|18.41707|2558421
Can Bordoy Grand House & Garden|https://www.canbordoy.com/en/|Carrer del Forn de la Glòria 14|Palma de Mallorca|ES|2019-02-01|https://i.travelapi.com/hotels/24000000/24000000/23997800/23997740/9e32a26c_b.jpg|39.56958|2.64439|900471
Canaves Oia Epitome|https://canaves.com/canaves-oia-epitome/|Eparchiaki Odos Oia|Santorini|GR|2018-04-01|https://i.travelapi.com/hotels/21000000/20270000/20260400/20260377/956f2eb2_b.jpg|36.46394|25.37091|763221
