#Answer.URL,WEBSITE,Input.Input-URL,Answer.ADDRESS1,Answer.CITY,ANSWER.STATE_NAME,COUNTRY,Answer.ZIP,Answer.MAP_URL,Answer.PHONE,CHAIN,TYPE,OPEN_DATE,Answer.PHOTO_URL,RATING,LAST_VERIFIED,LAT,LNG,HOTELID
AC Hotel by Marriott Maui Wailea,www.marriott.com,https://www.marriott.com/hotels/travel/hnmac-ac-hotel-maui-wailea/,88 Wailea Ike Place,Wailea,HI,USA,96753,https://www.marriott.com/hotels/maps/travel/hnmac-ac-hotel-maui-wailea/,808-856-0341,MARRIOTT,RESORT,2021-05-01,https://cache.marriott.com/marriottassets/marriott/HNMAC/hnmac-exterior-6140-hor-feat.jpg,0,2021-06-01,20.688828,-156.436035,NULL
AC Hotel Phoenix Downtown,www.marriott.com,https://www.marriott.com/hotels/travel/phxad-ac-hotel-phoenix-downtown/,414 North 5th Street,Phoenix,AZ,USA,85004,https://www.marriott.com/hotels/maps/travel/phxad-ac-hotel-phoenix-downtown/,602-258-1771,MARRIOTT,CHAIN,2021-04-01,https://cache.marriott.com/marriottassets/marriott/PHXAD/phxad-king-guest-6318-hor-clsc.jpg,0,2021-06-01,33.452843,-112.068504,NULL
Aiden by Best Western @ Scottsdale North,www.bestwestern.com,https://www.bestwestern.com/en_US/book/scottsdale/hotel-rooms/aiden-by-best-western-scottsdale-north/propertyCode.03169.html,10801 N 89th Place,Scottsdale,AZ,USA,85260,https://www.bestwestern.com/en_US/book/scottsdale/hotel-rooms/aiden-by-best-western-scottsdale-north/propertyCode.03169.html,480-314-1200,BEST WESTERN,CHAIN,2021-04-01,https://i.travelapi.com/hotels/1000000/30000/28400/28338/5a4c5f04_b.jpg,0,2021-06-01,33.584476,-111.88755,122233
Alila Hotels and Resorts,www.alilahotels.com,https://www.alilahotels.com/napa-valley,"1915 Main Street, St.",Helena,CA,USA,94574,"https://www.google.com/maps/place/Alila+Napa+Valley/@38.508887,-122.4788682,15z/data=!4m10!3m9!1s0x0:0xd5608afc12a84347!5m4!1s2021-05-11!2i3!4m1!1i2!8m2!3d38.508887!4d-122.4788682",707-963-7000,OTHER,BOUTIQUE,2021-03-01,https://i.travelapi.com/hotels/17000000/16480000/16474600/16474561/382996b5_b.jpg,0,2021-06-01,38.508888,-122.478867,645461
ALILA MAREA BEACH RESORT ENCINITAS,www.alilahotels.com,https://www.alilahotels.com/marea-beach-resort-encinitas,2100 N Coast Hwy 101,Encinitas,CA,USA,92024,https://g.page/alilamarea?share,800-554-9288,OTHER,RESORT,2021-02-28,https://1nsw6u.akamaized.net/application/files/2116/0143/8272/Alila-Marea-Front-Drive.jpg,0,2021-03-06,33.08242,-117.309082,NULL
Ancient Lore Village,ancientlorevillage.com,https://ancientlorevillage.com/,7107 Sevierville Pike,Knoxville,TN,USA,37920,https://ancientlorevillage.com/,865-200-2434,OTHER,BOUTIQUE,2021-04-01,https://www.wate.com/wp-content/uploads/sites/42/2019/10/IMG_3385.MOV.00_00_14_20.Still001.jpg,0,2021-06-01,35.919327,-83.842499,NULL
"Arizona Biltmore, A Waldorf Astoria Resort",www.arizonabiltmore.com,https://www.arizonabiltmore.com/,2400 E Missouri Avenue,Phoenix,AZ,USA,85016,"https://maps.google.com/?q=Arizona+Biltmore%2C+A+Waldorf+Astoria+Resort&sll=33.52331,-112.02456",,OTHER,Newly Renovated,2021-04-15,https://i.travelapi.com/hotels/1000000/10000/9800/9796/6bd86e70_b.jpg,0,2021-05-31,33.523312,-112.024559,105306
Austin Marriott Downtown,www.marriott.com,https://www.marriott.com/hotels/travel/ausmd-austin-marriott-downtown/,304 East Cesar Chavez Street,Austin,TX,USA,78701,https://www.marriott.com/hotels/maps/travel/ausmd-austin-marriott-downtown/,512-457-1111,MARRIOTT,BUSINESS,2021-03-04,https://cache.marriott.com/marriottassets/marriott/AUSMD/ausmd-exterior-5166-ver-clsc.jpg?interpolation=progressive-bilinear&downsize=*:256px,0,2021-03-06,30.262831,-97.74157,NULL
AutoCamp Cape Cod,autocamp.com,https://autocamp.com/cape-cod/,836 Palmer Avenue,Falmouth,MA,USA,02540,https://autocamp.com/cape-cod/,888-405-7553,OTHER,BOUTIQUE,2021-04-01,https://autocamp.com/wp-content/uploads/2020/09/1_DSC7992-retouched-small-e1602647917668.jpeg,0,2021-06-01,41.578331,-70.629616,NULL
avid hotel Austin Tech Ridge,www.ihg.com,https://www.ihg.com/avidhotels/hotels/us/en/austin/ausbt/hoteldetail,12413 Tech Ridge Blvd.,Austin,TX,USA,78753,"https://maps.google.com/?daddr=30.398606,-97.667642&saddr=",512-4004055,IHG,CHAIN,2021-04-15,HTTP://www.ihg.com/,0,2021-06-01,30.399069,-97.670715,NULL
