#NAME,OPEN_DATE,URL,
100 Princes Street,2020-11-01,https://www.redcarnationhotels.com/our-hotels/scotland/100-princes-street,
100 Rizes Seaside Resort,2020-01-01,https://100rizesseasideresort.com/,
25hours Hotel Terminus Nord,2019-01-01,https://www.25hours-hotels.com/en/hotels/paris/terminus-nord,
AD 1768 Boutique Hotel,2020-01-01,https://www.1768iblahotel.it/en/,
Adare Manor,2017-11-01,https://www.adaremanor.com/,
"African Pride Arabella Hotel & Spa, Autograph Collection",2018-02-01,https://www.marriott.com/hotels/travel/cptak-african-pride-arabella-hotel-and-spa-autograph-collection/,
"African Pride Irene Country Lodge, Autograph Collection®",2018-02-01,https://www.marriott.com/hotels/travel/jnbrl-african-pride-irene-country-lodge-autograph-collection/,
"African Pride Mount Grace Country House & Spa, Autograph Collection",2018-02-01,https://www.marriott.com/hotels/travel/jnbmm-african-pride-mount-grace-country-house-and-spa-autograph-collection/,
akyra Sukhumvit Bangkok,2018-05-12,http://www.theakyra.com/bangkok/sukhumvit/,
Al Bait Sharjah,2020-01-01,https://www.ghmhotels.com/en/the-chedi-al-bait-sharjah/,
Al Bandar Rotana,2018-03-01,https://www.rotana.com/rotanahotelandresorts/unitedarabemirates/dubai/albandarrotana,
"Al Seef Heritage Hotel Dubai, Curio Collection by Hilton",2019-08-01,https://curiocollection3.hilton.com/en/hotels/uae/al-seef-heritage-hotel-dubai-curio-collection-by-hilton-DXBASQQ/index.html,
"Aleph Rome Hotel, Curio Collection by Hilton",2017-12-01,http://curiocollection3.hilton.com/en/hotels/italy/aleph-rome-hotel-curio-collection-by-hilton-FCOAHQQ/index.html,
Alila Fort Bishangarh,2017-08-01,https://www.alilahotels.com/fortbishangarh,
"AlRayyan Hotel Doha, Curio Collection by Hilton",2017-08-01,http://curiocollection3.hilton.com/en/hotels/qatar/alrayyan-hotel-doha-curio-collection-by-hilton-DOHMOQQ/index.html,
Alvear Icon Hotel,2017-07-01,https://www.lhw.com/hotel/Alvear-Icon-Hotel-Residences-Buenos-Aires-Argentina,
Aman Kyoto,2020-01-01,https://www.aman.com/resorts/aman-kyoto,
Amara Signature Shanghai,2018-02-01,https://shanghai.amarahotels.com/,
Ambergris Cay,2020-01-01,https://ambergriscay.com/,
Amerikalinjen ,2019-05-01,https://amerikalinjen.com/,
Anantara Quy Nhon Villas,2018-08-01,https://www.anantara.com/en/quy-nhon,
"Ananti Resort, Residences and Beach Club",2019-06-15,https://www.ananti.me/,
Angsana Cayo Santa Maria,2018-10-01,https://www.angsana.com/en/cuba/cayo-santa-maria,
Angsana Zhuhai Phoenix Bay,2018-06-01,https://www.angsana.com/en/china/zhuhai,
"Anselmo Buenos Aires, Curio Collection by Hilton",2017-12-01,http://curiocollection3.hilton.com/en/hotels/argentina/anselmo-buenos-aires-curio-collection-by-hilton-BUEBAQQ/index.html,
Asilia Jabali Ridge,2018-02-01,https://www.asiliaafrica.com/east-africa-safari/tanzania/ruaha/jabali-ridge/,
Atelier Playa Mujeres,2019-01-15,https://atelierdehoteles.com/atelier-playa-mujeres/,
August,2019-06-01,https://www.august-antwerp.com/,
Avani Adelaide Residences,2019-11-01,https://www.avanihotels.com/en/adelaide,
Avani Melbourne Box Hill Residences,2019-11-01,https://www.avanihotels.com/en/box-hill,
AYANA Komodo Resort,2018-10-01,https://www.ayana.com/labuan-bajo/ayana-komodo,
Baglioni Resort Maldives,2019-06-15,https://www.baglionihotels.com/branches/baglioni-resort-maldives/,
Baha Mar,2017-06-01,https://bahamar.com/,
Bangkok Marriott Hotel The Surawongse,2018-04-15,http://www.marriott.com/hotels/travel/bkkwo-bangkok-marriott-hotel-the-surawongse/,
"Bankside Hotel, Autograph Collection",2018-10-01,https://www.marriott.com/hotels/travel/lonkb-bankside-hotel-autograph-collection/,
Barbuda Belle Luxury Beach Hotel,2020-01-01,https://www.barbudabelle.com/,
